[02/Mar/2014 19:27:31] DEBUG [django.db.backends:79] (0.000) SELECT `TranslatorManager_client`.`id`, `TranslatorManager_client`.`clientName`, `TranslatorManager_client`.`clientContact` FROM `TranslatorManager_client`; args=()
[02/Mar/2014 19:27:36] DEBUG [django.db.backends:79] (0.000) SELECT `TranslatorManager_client`.`id`, `TranslatorManager_client`.`clientName`, `TranslatorManager_client`.`clientContact` FROM `TranslatorManager_client`; args=()
[02/Mar/2014 19:27:37] DEBUG [django.db.backends:79] (0.000) SELECT `TranslatorManager_client`.`id`, `TranslatorManager_client`.`clientName`, `TranslatorManager_client`.`clientContact` FROM `TranslatorManager_client`; args=()
[02/Mar/2014 19:27:38] DEBUG [django.db.backends:79] (0.000) SELECT `TranslatorManager_client`.`id`, `TranslatorManager_client`.`clientName`, `TranslatorManager_client`.`clientContact` FROM `TranslatorManager_client`; args=()
[02/Mar/2014 19:27:46] DEBUG [django.db.backends:79] (0.000) SELECT `TranslatorManager_client`.`id`, `TranslatorManager_client`.`clientName`, `TranslatorManager_client`.`clientContact` FROM `TranslatorManager_client`; args=()
[02/Mar/2014 19:28:32] DEBUG [django.db.backends:79] (0.000) SELECT `TranslatorManager_client`.`id`, `TranslatorManager_client`.`clientName`, `TranslatorManager_client`.`clientContact` FROM `TranslatorManager_client`; args=()
[02/Mar/2014 19:28:36] DEBUG [django.db.backends:79] (0.000) SELECT `TranslatorManager_client`.`id`, `TranslatorManager_client`.`clientName`, `TranslatorManager_client`.`clientContact` FROM `TranslatorManager_client`; args=()
[02/Mar/2014 19:28:37] DEBUG [django.db.backends:79] (0.000) SELECT `TranslatorManager_client`.`id`, `TranslatorManager_client`.`clientName`, `TranslatorManager_client`.`clientContact` FROM `TranslatorManager_client`; args=()
[02/Mar/2014 19:28:39] DEBUG [django.db.backends:79] (0.000) SELECT `TranslatorManager_client`.`id`, `TranslatorManager_client`.`clientName`, `TranslatorManager_client`.`clientContact` FROM `TranslatorManager_client`; args=()
[02/Mar/2014 19:29:04] DEBUG [django.db.backends:79] (0.000) SELECT `TranslatorManager_client`.`id`, `TranslatorManager_client`.`clientName`, `TranslatorManager_client`.`clientContact` FROM `TranslatorManager_client`; args=()
[02/Mar/2014 19:29:05] DEBUG [django.db.backends:79] (0.000) SELECT `TranslatorManager_client`.`id`, `TranslatorManager_client`.`clientName`, `TranslatorManager_client`.`clientContact` FROM `TranslatorManager_client`; args=()
[02/Mar/2014 19:29:09] DEBUG [django.db.backends:79] (0.000) SELECT `TranslatorManager_client`.`id`, `TranslatorManager_client`.`clientName`, `TranslatorManager_client`.`clientContact` FROM `TranslatorManager_client`; args=()
